,order_id,customer_id,payment,order_date,delivery_date,sales_id,product_id,price_per_unit,quantity,total_price
0,1,64,30811,2021-08-30,2021-09-24,0,218,106,2,212
1,1,64,30811,2021-08-30,2021-09-24,1,481,118,1,118
2,1,64,30811,2021-08-30,2021-09-24,2,2,96,3,288
3,1,64,30811,2021-08-30,2021-09-24,3,1002,106,2,212
4,1,64,30811,2021-08-30,2021-09-24,4,691,113,3,339
5,1,64,30811,2021-08-30,2021-09-24,5,981,106,3,318
6,2,473,50490,2021-02-03,2021-02-13,6,915,96,1,96
7,2,473,50490,2021-02-03,2021-02-13,7,686,113,1,113
8,2,473,50490,2021-02-03,2021-02-13,8,1091,115,3,345
9,2,473,50490,2021-02-03,2021-02-13,9,1196,105,1,105
10,2,473,50490,2021-02-03,2021-02-13,10,157,91,3,273
11,2,473,50490,2021-02-03,2021-02-13,11,1174,99,2,198
12,3,774,46763,2021-10-08,2021-11-03,12,54,104,1,104
13,3,774,46763,2021-10-08,2021-11-03,13,6,96,2,192
14,3,774,46763,2021-10-08,2021-11-03,14,1010,106,2,212
15,4,433,39782,2021-05-06,2021-05-19,15,1033,90,1,90
16,4,433,39782,2021-05-06,2021-05-19,16,1184,99,3,297
17,4,433,39782,2021-05-06,2021-05-19,17,769,109,1,109
18,4,433,39782,2021-05-06,2021-05-19,18,923,96,3,288
19,4,433,39782,2021-05-06,2021-05-19,19,12,96,2,192
20,5,441,14719,2021-03-23,2021-03-24,20,148,91,2,182
21,5,441,14719,2021-03-23,2021-03-24,21,475,118,2,236
22,5,441,14719,2021-03-23,2021-03-24,22,1,96,3,288
23,5,441,14719,2021-03-23,2021-03-24,23,830,117,3,351
24,5,441,14719,2021-03-23,2021-03-24,24,1209,105,3,315
25,5,441,14719,2021-03-23,2021-03-24,25,635,93,3,279
26,5,441,14719,2021-03-23,2021-03-24,26,639,93,3,279
27,5,441,14719,2021-03-23,2021-03-24,27,695,113,1,113
28,6,800,16197,2021-09-09,2021-10-05,28,38,104,2,208
29,6,800,16197,2021-09-09,2021-10-05,29,473,118,2,236
30,6,800,16197,2021-09-09,2021-10-05,30,242,106,1,106
31,6,800,16197,2021-09-09,2021-10-05,31,804,91,2,182
32,7,626,37666,2021-04-05,2021-04-11,32,850,113,2,226
33,7,626,37666,2021-04-05,2021-04-11,33,1162,99,3,297
34,8,58,28484,2021-04-12,2021-05-01,34,765,109,1,109
35,8,58,28484,2021-04-12,2021-05-01,35,256,95,2,190
36,9,852,12896,2021-05-01,2021-05-11,36,203,98,1,98
37,9,852,12896,2021-05-01,2021-05-11,37,486,118,2,236
38,9,852,12896,2021-05-01,2021-05-11,38,708,119,1,119
39,9,852,12896,2021-05-01,2021-05-11,39,1040,90,2,180
40,9,852,12896,2021-05-01,2021-05-11,40,917,96,3,288
41,9,852,12896,2021-05-01,2021-05-11,41,1061,93,2,186
42,9,852,12896,2021-05-01,2021-05-11,42,35,104,2,208
43,10,659,21922,2021-10-15,2021-10-16,43,325,109,3,327
44,10,659,21922,2021-10-15,2021-10-16,44,860,113,2,226
45,10,659,21922,2021-10-15,2021-10-16,45,426,107,3,321
46,11,785,36624,2021-06-15,2021-06-30,46,877,94,2,188
47,11,785,36624,2021-06-15,2021-06-30,47,780,91,3,273
48,12,120,55507,2021-06-30,2021-07-11,48,782,91,1,91
49,12,120,55507,2021-06-30,2021-07-11,49,632,93,2,186
50,12,120,55507,2021-06-30,2021-07-11,50,846,113,3,339
51,12,120,55507,2021-06-30,2021-07-11,51,180,98,1,98
52,13,204,57810,2021-10-15,2021-10-31,52,217,106,2,212
53,13,204,57810,2021-10-15,2021-10-31,53,95,118,3,354
54,13,204,57810,2021-10-15,2021-10-31,54,800,91,2,182
55,13,204,57810,2021-10-15,2021-10-31,55,835,117,1,117
56,13,204,57810,2021-10-15,2021-10-31,56,1249,112,2,224
57,13,204,57810,2021-10-15,2021-10-31,57,753,109,2,218
58,13,204,57810,2021-10-15,2021-10-31,58,114,92,3,276
59,14,957,21270,2021-03-29,2021-04-12,59,1202,105,2,210
60,14,957,21270,2021-03-29,2021-04-12,60,227,106,3,318
61,14,957,21270,2021-03-29,2021-04-12,61,108,92,2,184
62,14,957,21270,2021-03-29,2021-04-12,62,91,118,3,354
63,14,957,21270,2021-03-29,2021-04-12,63,909,94,2,188
64,15,468,15488,2021-09-22,2021-10-08,64,699,113,3,339
65,15,468,15488,2021-09-22,2021-10-08,65,1195,105,3,315
66,15,468,15488,2021-09-22,2021-10-08,66,291,105,2,210
67,15,468,15488,2021-09-22,2021-10-08,67,972,97,3,291
68,15,468,15488,2021-09-22,2021-10-08,68,1212,105,2,210
69,16,564,36479,2021-07-07,2021-07-08,69,7,96,3,288
70,16,564,36479,2021-07-07,2021-07-08,70,381,94,3,282
71,16,564,36479,2021-07-07,2021-07-08,71,17,96,2,192
72,16,564,36479,2021-07-07,2021-07-08,72,297,105,2,210
73,16,564,36479,2021-07-07,2021-07-08,73,28,96,1,96
74,16,564,36479,2021-07-07,2021-07-08,74,934,96,1,96
75,16,564,36479,2021-07-07,2021-07-08,75,324,109,3,327
76,16,564,36479,2021-07-07,2021-07-08,76,578,100,2,200
77,16,564,36479,2021-07-07,2021-07-08,77,273,95,1,95
78,17,614,51822,2021-02-09,2021-02-11,78,132,92,2,184
79,17,614,51822,2021-02-09,2021-02-11,79,791,91,2,182
80,17,614,51822,2021-02-09,2021-02-11,80,463,118,1,118
81,17,614,51822,2021-02-09,2021-02-11,81,1066,93,2,186
82,18,299,22902,2021-01-01,2021-01-03,82,35,104,1,104
83,18,299,22902,2021-01-01,2021-01-03,83,970,97,3,291
84,18,299,22902,2021-01-01,2021-01-03,84,285,105,1,105
85,18,299,22902,2021-01-01,2021-01-03,85,1110,115,3,345
86,18,299,22902,2021-01-01,2021-01-03,86,452,107,1,107
87,19,513,56754,2021-08-30,2021-09-10,87,71,118,1,118
88,19,513,56754,2021-08-30,2021-09-10,88,347,109,2,218
89,19,513,56754,2021-08-30,2021-09-10,89,316,109,2,218
90,19,513,56754,2021-08-30,2021-09-10,90,809,117,3,351
91,19,513,56754,2021-08-30,2021-09-10,91,682,113,3,339
92,20,789,45129,2021-01-13,2021-01-20,92,596,112,2,224
93,20,789,45129,2021-01-13,2021-01-20,93,85,118,3,354
94,20,789,45129,2021-01-13,2021-01-20,94,571,100,1,100
95,20,789,45129,2021-01-13,2021-01-20,95,1114,115,3,345
96,20,789,45129,2021-01-13,2021-01-20,96,514,102,3,306
