order_id,customer_id,payment,order_date,delivery_date,sales_id,product_id,price_per_unit,quantity,total_price
1,64,30811,8/30/2021,9/24/2021,0,218,106,2,212
1,64,30811,8/30/2021,9/24/2021,1,481,118,1,118
1,64,30811,8/30/2021,9/24/2021,2,2,96,3,288
1,64,30811,8/30/2021,9/24/2021,3,1002,106,2,212
1,64,30811,8/30/2021,9/24/2021,4,691,113,3,339
1,64,30811,8/30/2021,9/24/2021,5,981,106,3,318
2,473,50490,2/3/2021,2/13/2021,6,915,96,1,96
2,473,50490,2/3/2021,2/13/2021,7,686,113,1,113
2,473,50490,2/3/2021,2/13/2021,8,1091,115,3,345
2,473,50490,2/3/2021,2/13/2021,9,1196,105,1,105
2,473,50490,2/3/2021,2/13/2021,10,157,91,3,273
2,473,50490,2/3/2021,2/13/2021,11,1174,99,2,198
3,774,46763,10/8/2021,11/3/2021,12,54,104,1,104
3,774,46763,10/8/2021,11/3/2021,13,6,96,2,192
3,774,46763,10/8/2021,11/3/2021,14,1010,106,2,212
4,433,39782,5/6/2021,5/19/2021,15,1033,90,1,90
4,433,39782,5/6/2021,5/19/2021,16,1184,99,3,297
4,433,39782,5/6/2021,5/19/2021,17,769,109,1,109
4,433,39782,5/6/2021,5/19/2021,18,923,96,3,288
4,433,39782,5/6/2021,5/19/2021,19,12,96,2,192
5,441,14719,3/23/2021,3/24/2021,20,148,91,2,182
5,441,14719,3/23/2021,3/24/2021,21,475,118,2,236
5,441,14719,3/23/2021,3/24/2021,22,1,96,3,288
5,441,14719,3/23/2021,3/24/2021,23,830,117,3,351
5,441,14719,3/23/2021,3/24/2021,24,1209,105,3,315
5,441,14719,3/23/2021,3/24/2021,25,635,93,3,279
5,441,14719,3/23/2021,3/24/2021,26,639,93,3,279
5,441,14719,3/23/2021,3/24/2021,27,695,113,1,113
6,800,16197,9/9/2021,10/5/2021,28,38,104,2,208
6,800,16197,9/9/2021,10/5/2021,29,473,118,2,236
6,800,16197,9/9/2021,10/5/2021,30,242,106,1,106
6,800,16197,9/9/2021,10/5/2021,31,804,91,2,182
7,626,37666,4/5/2021,4/11/2021,32,850,113,2,226
7,626,37666,4/5/2021,4/11/2021,33,1162,99,3,297
8,58,28484,4/12/2021,5/1/2021,34,765,109,1,109
8,58,28484,4/12/2021,5/1/2021,35,256,95,2,190
9,852,12896,5/1/2021,5/11/2021,36,203,98,1,98
9,852,12896,5/1/2021,5/11/2021,37,486,118,2,236
9,852,12896,5/1/2021,5/11/2021,38,708,119,1,119
9,852,12896,5/1/2021,5/11/2021,39,1040,90,2,180
9,852,12896,5/1/2021,5/11/2021,40,917,96,3,288
9,852,12896,5/1/2021,5/11/2021,41,1061,93,2,186
9,852,12896,5/1/2021,5/11/2021,42,35,104,2,208
10,659,21922,10/15/2021,10/16/2021,43,325,109,3,327
10,659,21922,10/15/2021,10/16/2021,44,860,113,2,226
10,659,21922,10/15/2021,10/16/2021,45,426,107,3,321
11,785,36624,6/15/2021,6/30/2021,46,877,94,2,188
11,785,36624,6/15/2021,6/30/2021,47,780,91,3,273
12,120,55507,6/30/2021,7/11/2021,48,782,91,1,91
12,120,55507,6/30/2021,7/11/2021,49,632,93,2,186
12,120,55507,6/30/2021,7/11/2021,50,846,113,3,339
12,120,55507,6/30/2021,7/11/2021,51,180,98,1,98
13,204,57810,10/15/2021,10/31/2021,52,217,106,2,212
13,204,57810,10/15/2021,10/31/2021,53,95,118,3,354
13,204,57810,10/15/2021,10/31/2021,54,800,91,2,182
13,204,57810,10/15/2021,10/31/2021,55,835,117,1,117
13,204,57810,10/15/2021,10/31/2021,56,1249,112,2,224
13,204,57810,10/15/2021,10/31/2021,57,753,109,2,218
13,204,57810,10/15/2021,10/31/2021,58,114,92,3,276
14,957,21270,3/29/2021,4/12/2021,59,1202,105,2,210
14,957,21270,3/29/2021,4/12/2021,60,227,106,3,318
14,957,21270,3/29/2021,4/12/2021,61,108,92,2,184
14,957,21270,3/29/2021,4/12/2021,62,91,118,3,354
14,957,21270,3/29/2021,4/12/2021,63,909,94,2,188
15,468,15488,9/22/2021,10/8/2021,64,699,113,3,339
15,468,15488,9/22/2021,10/8/2021,65,1195,105,3,315
15,468,15488,9/22/2021,10/8/2021,66,291,105,2,210
15,468,15488,9/22/2021,10/8/2021,67,972,97,3,291
15,468,15488,9/22/2021,10/8/2021,68,1212,105,2,210
16,564,36479,7/7/2021,7/8/2021,69,7,96,3,288
16,564,36479,7/7/2021,7/8/2021,70,381,94,3,282
16,564,36479,7/7/2021,7/8/2021,71,17,96,2,192
16,564,36479,7/7/2021,7/8/2021,72,297,105,2,210
16,564,36479,7/7/2021,7/8/2021,73,28,96,1,96
16,564,36479,7/7/2021,7/8/2021,74,934,96,1,96
16,564,36479,7/7/2021,7/8/2021,75,324,109,3,327
16,564,36479,7/7/2021,7/8/2021,76,578,100,2,200
16,564,36479,7/7/2021,7/8/2021,77,273,95,1,95
17,614,51822,2/9/2021,2/11/2021,78,132,92,2,184
17,614,51822,2/9/2021,2/11/2021,79,791,91,2,182
17,614,51822,2/9/2021,2/11/2021,80,463,118,1,118
17,614,51822,2/9/2021,2/11/2021,81,1066,93,2,186
18,299,22902,1/1/2021,1/3/2021,82,35,104,1,104
18,299,22902,1/1/2021,1/3/2021,83,970,97,3,291
18,299,22902,1/1/2021,1/3/2021,84,285,105,1,105
18,299,22902,1/1/2021,1/3/2021,85,1110,115,3,345
18,299,22902,1/1/2021,1/3/2021,86,452,107,1,107
19,513,56754,8/30/2021,9/10/2021,87,71,118,1,118
19,513,56754,8/30/2021,9/10/2021,88,347,109,2,218
19,513,56754,8/30/2021,9/10/2021,89,316,109,2,218
19,513,56754,8/30/2021,9/10/2021,90,809,117,3,351
19,513,56754,8/30/2021,9/10/2021,91,682,113,3,339
20,789,45129,1/13/2021,1/20/2021,92,596,112,2,224
20,789,45129,1/13/2021,1/20/2021,93,85,118,3,354
20,789,45129,1/13/2021,1/20/2021,94,571,100,1,100
